Date-time,Day of year,Hour of day,F10.7 index (sfu),Solar wind speed (km/s),Bz index (nT),Dst index (nT),VTEC 10E 40N (TECU)
2017-01-01 00:00:00,1,0,70.1,552,-2.5,-13,7.6
2017-01-01 01:00:00,1,1,70.1,556,-3.5,-14,7.2
2017-01-01 02:00:00,1,2,70.1,552,-3.0,-16,6.8
2017-01-01 03:00:00,1,3,70.1,539,0.0,-24,8.2
2017-01-01 04:00:00,1,4,70.1,543,-2.9,-30,8.0
2017-01-01 05:00:00,1,5,70.1,542,-4.0,-31,7.5
2017-01-01 06:00:00,1,6,70.1,527,-1.2,-29,7.9
2017-01-01 07:00:00,1,7,70.1,533,-1.8,-21,8.8
2017-01-01 08:00:00,1,8,70.1,530,-1.6,-19,9.9
2017-01-01 09:00:00,1,9,70.1,518,-0.5,-17,11.1
2017-01-01 10:00:00,1,10,70.1,513,0.1,-13,11.1
2017-01-01 11:00:00,1,11,70.1,518,-1.7,-16,11.8
2017-01-01 12:00:00,1,12,70.1,515,-0.7,-14,11.9
2017-01-01 13:00:00,1,13,70.1,514,-2.1,-13,12.7
2017-01-01 14:00:00,1,14,70.1,511,-0.5,-13,12.3
2017-01-01 15:00:00,1,15,70.1,501,0.6,-12,12.9
2017-01-01 16:00:00,1,16,70.1,494,-0.9,-14,10.7
2017-01-01 17:00:00,1,17,70.1,485,-1.9,-16,7.8
2017-01-01 18:00:00,1,18,70.1,481,-0.5,-14,7.6
2017-01-01 19:00:00,1,19,70.1,477,-1.4,-11,7.8
2017-01-01 20:00:00,1,20,70.1,477,-0.5,-12,7.4
2017-01-01 21:00:00,1,21,70.1,476,0.9,-12,7.2
2017-01-01 22:00:00,1,22,70.1,462,0.1,-12,7.0
2017-01-01 23:00:00,1,23,70.1,465,0.6,-9,6.8
2017-01-02 00:00:00,2,0,70.6,468,-0.2,-4,7.1
2017-01-02 01:00:00,2,1,70.6,463,-0.4,-6,6.6
2017-01-02 02:00:00,2,2,70.6,447,-1.5,-8,6.9
2017-01-02 03:00:00,2,3,70.6,427,-1.4,-10,7.8
2017-01-02 04:00:00,2,4,70.6,431,-2.3,-12,7.3
2017-01-02 05:00:00,2,5,70.6,426,-2.6,-10,6.6
2017-01-02 06:00:00,2,6,70.6,418,-3.1,-11,7.2
2017-01-02 07:00:00,2,7,70.6,413,-3.5,-16,8.4
2017-01-02 08:00:00,2,8,70.6,396,-2.9,-15,9.0
2017-01-02 09:00:00,2,9,70.6,392,-2.6,-12,10.2
2017-01-02 10:00:00,2,10,70.6,399,-2.4,-13,11.2
2017-01-02 11:00:00,2,11,70.6,401,-3.5,-14,11.5
